STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
334670,8.144078,2.297924,2.874237,6.664225,-4.498394,0.119658,10.989073,1.435022,
335827,8.144078,2.297924,2.879121,6.664225,-4.464206,0.119658,10.950626,1.425410,
336986,8.144078,2.302808,2.879121,6.664225,-4.537466,0.119658,10.998685,1.444634,
338140,8.144078,2.302808,2.879121,6.664225,-4.532582,0.119658,10.998685,1.444634,
339295,8.139194,2.302808,2.879121,6.669109,-4.483742,0.119658,10.979462,1.435022,
340448,8.144078,2.302808,2.879121,6.664225,-4.498394,0.119658,10.969850,1.435022,
341601,8.139194,2.302808,2.884005,6.664225,-4.459322,0.119658,10.989073,1.444634,
342758,8.139194,2.302808,2.884005,6.669109,-4.469090,0.119658,10.931403,1.425410,
343913,8.144078,2.302808,2.884005,6.669109,-4.522814,0.119658,10.931403,1.425410,
345065,8.144078,2.302808,2.884005,6.669109,-4.547234,0.119658,11.017908,1.444634,
346224,8.139194,2.302808,2.884005,6.669109,-4.640031,0.119658,11.017908,1.444634,
347410,8.139194,2.302808,2.888889,6.669109,-4.727943,0.119658,11.354319,1.454245,
